CPS_Aspect,CPS_Concern1,CPS_Concern2,CPS_Concern3,CPS_Concern4,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Trustworthiness,Safety,,,,2,1,1,4,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,1,1,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,1,1,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Frequency,5,1,1,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
Trustworthiness,Privacy,,,,2,1,1,3,FALSE,Trustworthiness
Trustworthiness,Privacy,Dissociability,,,3,1,1,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
Trustworthiness,Resilience,,,,2,1,1,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,FALSE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,,,3,1,1,2,TRUE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,Stability,,4,1,1,1,TRUE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,Stability,Functional_Stability,5,1,1,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
Trustworthiness,Safety,,,,2,1,1,4,TRUE,Trustworthiness
Trustworthiness,Safety,Human_Safety,,,3,1,1,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
Trustworthiness,Safety,,,,2,1,1,4,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,1,1,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,1,1,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Controllability,5,1,1,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
Trustworthiness,Privacy,,,,2,1,1,3,FALSE,Trustworthiness
Trustworthiness,Privacy,Predictability,,,3,1,1,1,FALSE,Trustworthiness
Trustworthiness,Privacy,Predictability,Controls,,4,1,1,1,FALSE,Trustworthiness
Trustworthiness,Privacy,Predictability,Controls,Authorization,5,1,1,1,FALSE,Trustworthiness
Trustworthiness,,,,,1,1,1,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,1,1,6,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,1,1,4,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Availability,,4,1,1,1,TRUE,Trustworthiness
Boundaries,,,,,1,203,203,4,TRUE,Boundaries
Boundaries,Behavioral,,,,2,203,203,1,TRUE,Boundaries
Boundaries,,,,,1,203,203,4,TRUE,Boundaries
