CPS_Aspect,CPS_Concern,CPS_Concern,CPS_Concern,CPS_Concern,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Data,RelationshipBetweenData,Polymorphism,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,RelationshipBetweenData,,,,2,203,203,7,True,Data
Data,RelationshipBetweenData,Inheritance,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,DataSemantics,,,,2,203,203,3,True,Data
Data,DataSemantics,DataModels,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,OperationsOnData,,,,2,203,203,5,True,Data
Data,OperationsOnData,Fusion,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,True,Data
Data,Identity,ResourceIdentification,ClassIdentification,,4,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,True,Data
Data,Identity,ResourceIdentification,ObjectIdentification,,4,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,True,Data
Data,Identity,ResourceIdentification,UserIdentification,,4,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Velocity,,,,2,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,RelationshipBetweenData,,,,2,203,203,7,True,Data
Data,RelationshipBetweenData,DirectionalityOfRelationships,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,DataSemantics,,,,2,203,203,3,True,Data
Data,DataSemantics,Granularity,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,OperationsOnData,,,,2,203,203,5,True,Data
Data,OperationsOnData,Transformation,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,DataIntegrity,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,OperationsOnData,,,,2,203,203,5,True,Data
Data,OperationsOnData,Storage,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,Verification,,,3,203,203,1,True,Data
Data,,,,,1,203,203,26,False,Data
Data,Identity,,,,2,203,203,10,False,Data
Data,Identity,Authorization,,,3,203,203,1,True,Data
Functional,,,,,1,203,203,13,True,Functional
Functional,Communication,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Measurability,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Actuation,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,StatesAndModes,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Sensing,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Monitorability,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Functionality,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Uncertainty,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,PhysicalContext,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Performance,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Physical,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Manageability,,,,2,203,203,1,True,Functional
Functional,,,,,1,203,203,13,True,Functional
Functional,Controllability,,,,2,203,203,1,True,Functional
Human,,,,,1,203,203,2,True,Human
Human,HumanFactors,,,,2,203,203,1,True,Human
Human,,,,,1,203,203,2,True,Human
Human,Usability,,,,2,203,203,1,True,Human
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Procureability,,,,2,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Engineerability,,,,2,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Maintainability,,,,2,203,203,3,True,Lifecycle
Lifecycle,Maintainability,ConfigurationForLeastFFunctionality,,,3,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Producibility,,,,2,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Deployability,,,,2,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Disposability,,,,2,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Maintainability,,,,2,203,203,3,True,Lifecycle
Lifecycle,Maintainability,ComponentInventory,,,3,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Maintainability,,,,2,203,203,3,True,Lifecycle
Lifecycle,Maintainability,ConfigurationManagement,,,3,203,203,1,True,Lifecycle
Lifecycle,,,,,1,203,203,9,True,Lifecycle
Lifecycle,Operatability,,,,2,203,203,1,True,Lifecycle
Timing,,,,,1,203,203,5,True,Timing
Timing,TimeAwareness,,,,2,203,203,1,True,Timing
Timing,,,,,1,203,203,5,True,Timing
Timing,Synchronization,,,,2,203,203,1,True,Timing
Timing,,,,,1,203,203,5,True,Timing
Timing,TimeIntervalAndLatencyControl,,,,2,203,203,1,True,Timing
Timing,,,,,1,203,203,5,True,Timing
Timing,ManagingTimingAndLatency,,,,2,203,203,1,True,Timing
Timing,,,,,1,203,203,5,True,Timing
Timing,LogicalTime,,,,2,203,203,1,True,Timing
Trustworthiness,,,,,1,203,203,15,False,Trustworthiness
Trustworthiness,Privacy,,,,2,203,203,3,False,Trustworthiness
Trustworthiness,Privacy,Manageability,,,3,203,203,1,True,Trustworthiness
Trustworthiness,,,,,1,203,203,15,False,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,203,203,4,False,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,,4,203,203,2,False,Trustworthiness
